fold,best_threshold,best_tpr,best_fpr,youden_J
1,0.0062091327272355,0.9869281045751634,0.16216216216216217,0.8247659424130013
2,0.0072665424086153,0.9652777777777778,0.21739130434782608,0.7478864734299517
3,0.0066128917969763,0.9470198675496688,0.1794871794871795,0.7675326880624893
4,0.0086415903642773,0.8951048951048951,0.06521739130434782,0.8298875038005473
5,0.0095400111749768,0.8540145985401459,0.1346153846153846,0.7193992139247614
6,0.0077236066572368,0.9214285714285714,0.10204081632653061,0.8193877551020408
7,0.0092810792848467,0.910958904109589,0.20930232558139536,0.7016565785281936
8,0.009025034494698,0.8642857142857143,0.24489795918367346,0.6193877551020408
9,0.0035246869083493,0.9797297297297297,0.21951219512195122,0.7602175346077785
10,0.007474651094526,0.9463087248322147,0.175,0.7713087248322148
