fold,threshold,TN,FP,FN,TP,accuracy,sensitivity_pos_class1,specificity_neg_class-1,balanced_accuracy
1,0.440536013400335,75,2,35,43,0.7612903225806451,0.5512820512820513,0.974025974025974,0.7626540126540127
2,0.375,73,4,17,61,0.864516129032258,0.782051282051282,0.948051948051948,0.865051615051615
3,0.3249176728869374,69,8,8,70,0.896774193548387,0.8974358974358975,0.8961038961038961,0.8967698967698967
4,0.2803738317757009,61,16,4,74,0.8709677419354839,0.9487179487179487,0.7922077922077922,0.8704628704628705
5,0.3276955602536998,69,8,9,69,0.8903225806451613,0.8846153846153846,0.8961038961038961,0.8903596403596403
6,0.3824,73,4,20,58,0.8451612903225807,0.7435897435897436,0.948051948051948,0.8458208458208458
7,0.469557964970809,75,2,41,37,0.7225806451612903,0.47435897435897434,0.974025974025974,0.7241924741924741
8,0.3725992317541613,72,5,13,65,0.8838709677419355,0.8333333333333334,0.935064935064935,0.8841991341991342
9,0.3324324324324324,70,7,10,68,0.8903225806451613,0.8717948717948718,0.9090909090909091,0.8904428904428905
10,0.3460207612456747,71,6,11,67,0.8903225806451613,0.8589743589743589,0.922077922077922,0.8905261405261404
