fold,threshold,TN,FP,FN,TP,accuracy,sensitivity_pos_class1,specificity_neg_class-1,balanced_accuracy
1,0.4355108877721943,75,2,34,44,0.7677419354838709,0.5641025641025641,0.974025974025974,0.7690642690642691
2,0.3843248347497639,75,2,21,57,0.8516129032258064,0.7307692307692307,0.974025974025974,0.8523976023976023
3,0.2989247311827957,67,10,7,71,0.8903225806451613,0.9102564102564102,0.8701298701298701,0.8901931401931402
4,0.2920560747663551,66,11,6,72,0.8903225806451613,0.9230769230769231,0.8571428571428571,0.8901098901098901
5,0.3298097251585624,72,5,12,66,0.8903225806451613,0.8461538461538461,0.935064935064935,0.8906093906093906
6,0.3904,75,2,22,56,0.8451612903225807,0.717948717948718,0.974025974025974,0.8459873459873459
7,0.4812343619683069,76,1,44,34,0.7096774193548387,0.4358974358974359,0.987012987012987,0.7114552114552115
8,0.3738796414852753,74,3,18,60,0.864516129032258,0.7692307692307693,0.961038961038961,0.8651348651348651
9,0.3364864864864865,73,4,12,66,0.896774193548387,0.8461538461538461,0.948051948051948,0.8971028971028971
10,0.3598615916955017,74,3,14,64,0.8903225806451613,0.8205128205128205,0.961038961038961,0.8907758907758907
