filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-101\00180.png,0.020817578,15.505051,81.0,15.36409,0.00012057317,0.00044877545
B22-101\00201.png,0.03865236,17.495615,100.0,16.385391,0.00014739085,0.0029517342
B22-101\00201_Aug1.png,0.039414883,17.74173,100.0,16.86235,0.00015253156,0.0014251564
B22-101\00201_Aug2.png,0.039123118,18.04715,100.0,17.16623,0.00015318108,0.0037212986
B22-101\00201_Aug3.png,0.03952247,17.970596,100.0,17.332413,0.00015400405,0.0014203241
B22-101\00201_Aug4.png,0.03925246,18.107458,100.0,17.250656,0.0001554512,0.0035442507
B22-101\00201_Aug5.png,0.039466143,18.129538,100.0,17.332932,0.00015448182,0.0016969988
B22-101\00201_Aug6.png,0.03900522,18.172537,121.0,17.385986,0.0001555162,0.0035221078
B22-101\00201_Aug7.png,0.040406287,18.45431,121.0,17.642456,0.00015738714,0.0018427627
B22-101\00201_Aug8.png,0.039565384,18.498129,121.0,17.867844,0.00016149675,0.0033133333
B22-101\00280.png,0.026809692,17.654593,100.0,16.986176,0.00015867356,0.000694659
B22-101\00415.png,0.02710408,15.482732,81.0,15.032532,0.00012224253,0.0003821546
B22-102\01468.png,0.03393078,16.119562,81.0,15.350525,0.00013845568,0.00081271434
B22-102\01468_Aug1.png,0.03383112,15.894974,81.0,15.106827,0.00013361464,0.00066145475
B22-102\01468_Aug2.png,0.033363998,16.032028,81.0,15.361191,0.00013435523,0.0006810724
B22-102\01468_Aug3.png,0.034172475,16.154984,81.0,15.643448,0.00013851178,0.0005868945
B22-102\01468_Aug4.png,0.033556998,16.053076,81.0,15.485764,0.00013613817,0.0006189299
B22-102\01468_Aug5.png,0.03315419,15.830083,81.0,15.263321,0.0001287004,0.00045700406
B22-102\01468_Aug6.png,0.032976627,15.824397,81.0,15.216858,0.00013047278,0.00045704277
B22-102\01468_Aug7.png,0.032428026,15.727138,81.0,15.130539,0.00012903314,0.00044430624
B22-102\01468_Aug8.png,0.033171237,15.880402,81.0,15.395309,0.00013371438,0.00044159946
B22-102\03685.png,0.021217167,15.594304,81.0,15.801285,0.00014231632,0.011722203
B22-102\03685_Aug1.png,0.022076607,15.5959015,81.0,15.626099,0.00014222012,0.014006628
B22-102\03685_Aug2.png,0.020486057,15.415904,81.0,15.68985,0.00013560292,0.011089534
B22-102\03685_Aug3.png,0.023040712,15.701523,81.0,15.9618225,0.00015253508,0.015720569
B22-102\03685_Aug4.png,0.01984185,15.393794,81.0,15.6107025,0.00013018791,0.009135268
B22-102\03685_Aug5.png,0.023226261,15.7543745,100.0,15.989563,0.00015453063,0.016206026
B22-102\03685_Aug6.png,0.01870805,15.375397,64.0,15.772369,0.00012590841,0.008080639
B22-102\03685_Aug7.png,0.023646593,15.734924,100.0,16.084854,0.00015928954,0.017612563
B22-102\03685_Aug8.png,0.018650949,15.168065,64.0,15.541763,0.00012587625,0.0073598055
B22-102\03798.png,0.027806282,17.374517,100.0,16.815277,0.00015422064,0.00077363884
B22-102\03838.png,0.028270304,15.100871,64.0,14.850357,0.000113022965,0.00039509253
B22-103\02201.png,0.017144859,13.758662,49.0,14.084381,9.001406e-05,0.00041893107
B22-103\02201_Aug1.png,0.016759574,13.813298,49.0,14.228821,8.932815e-05,0.00030551112
B22-103\02201_Aug2.png,0.016944945,13.937388,49.0,14.246185,9.363955e-05,0.00046759745
B22-103\02201_Aug3.png,0.016464174,13.689163,49.0,14.011139,8.9765075e-05,0.00022510304
B22-103\02201_Aug4.png,0.016972482,14.013118,49.0,14.4135895,9.370925e-05,0.0004920501
B22-103\02201_Aug5.png,0.01736337,13.521749,49.0,13.7035675,8.758978e-05,0.0002270234
B22-103\02201_Aug6.png,0.017394245,13.8849535,49.0,14.097885,9.413469e-05,0.00055380026
B22-103\02201_Aug7.png,0.01711756,13.489537,49.0,13.612671,8.726618e-05,0.0002252502
B22-103\02201_Aug8.png,0.016631126,14.059154,49.0,14.423737,9.527679e-05,0.00045870274
B22-103\02245.png,0.017392457,13.57191,49.0,13.632858,0.00010403947,0.0050247833
B22-103\02245_Aug1.png,0.017448604,13.711304,49.0,13.907211,0.00010528363,0.005409878
B22-103\02245_Aug2.png,0.016955376,13.672801,64.0,13.755173,0.000104427134,0.0054499693
B22-103\02245_Aug3.png,0.01710397,13.7873535,49.0,13.8954315,0.00010583275,0.005798627
B22-103\02245_Aug4.png,0.017113388,13.710851,49.0,13.826172,0.00010622979,0.0058060437
B22-103\02245_Aug5.png,0.01754427,13.866063,49.0,14.059769,0.00010673407,0.0056849644
B22-103\02245_Aug6.png,0.017231643,13.813792,64.0,13.848679,0.00010746199,0.005904358
B22-103\02245_Aug7.png,0.017695606,13.989818,64.0,14.148331,0.00011118722,0.0061983587
B22-103\02245_Aug8.png,0.01719451,13.8576765,49.0,13.882187,0.00010702857,0.005996002
B22-103\02790.png,0.018214047,13.166682,49.0,12.9869995,8.654366e-05,0.00029214667
B22-104\00398.png,0.016122103,13.248138,36.0,13.438324,8.458753e-05,0.00018371012
B22-104\00438.png,0.01826197,13.870265,49.0,14.23465,9.276592e-05,0.00022013331
B22-104\00553.png,0.017549455,13.019109,49.0,12.971603,8.3422216e-05,0.00022113258
B22-104\00555.png,0.017050326,13.149205,49.0,13.263229,7.929055e-05,0.00021346356
B22-104\00557.png,0.015713394,12.500407,49.0,12.26709,7.460344e-05,0.00020990221
B22-106\00071.png,0.015810728,13.249623,36.0,13.607574,8.441459e-05,0.00019029525
B22-106\00079.png,0.018215716,13.616211,49.0,13.711853,8.894564e-05,0.0002788228
B22-106\00125.png,0.021376193,13.100957,64.0,12.849213,8.708103e-05,0.00023106718
B22-106\00128.png,0.018345892,13.654353,49.0,14.039886,8.972002e-05,0.0002062271
B22-106\00166.png,0.017959654,13.420354,49.0,13.63887,8.775451e-05,0.00020511504
B22-106\00269.png,0.019363344,13.56778,49.0,13.455292,8.852537e-05,0.00021780375
B22-106\00281.png,0.017126083,13.648488,49.0,13.96846,8.965291e-05,0.00021731679
B22-106\00319.png,0.018132448,13.409495,64.0,13.337067,8.815907e-05,0.00022416298
B22-106\00344.png,0.021267354,14.319676,81.0,14.059113,0.00010441845,0.00029079124
B22-106\00389.png,0.017210007,14.0212755,49.0,14.5390625,9.3208015e-05,0.000196023
B22-106\00469.png,0.014890373,13.509364,36.0,13.639572,8.963249e-05,0.00021690785
B22-107\00016.png,0.021080792,14.78978,64.0,14.955841,0.00011138621,0.0002812175
B22-107\00174.png,0.017759144,13.405533,49.0,13.509308,8.738844e-05,0.00020493446
B22-107\00238.png,0.015359461,12.968287,49.0,13.274261,7.851195e-05,0.00019041252
B22-107\00290.png,0.020380974,14.607793,81.0,14.326553,0.00010945402,0.00040582241
B22-107\00320.png,0.021197319,14.987727,81.0,15.1128845,0.00010945191,0.00057780615
B22-108\00022.png,0.017124832,13.625636,49.0,13.61348,9.263732e-05,0.00019704839
B22-108\00023.png,0.017311573,13.99438,49.0,14.468414,9.416965e-05,0.00020980608
B22-108\00080.png,0.019363403,13.797765,49.0,13.702789,9.5699404e-05,0.00024357418
B22-109\00017.png,0.016768456,13.739868,49.0,14.086929,9.13894e-05,0.00021971548
B22-109\00320.png,0.016977131,13.636424,49.0,13.836075,8.927698e-05,0.00031921832
B22-109\00322.png,0.018712044,13.684382,64.0,12.995361,9.437686e-05,0.00047159832
B22-109\00323.png,0.018911362,14.069615,49.0,14.368607,9.444092e-05,0.0003089111
B22-110\00006.png,0.017999709,13.503799,49.0,13.640381,8.61729e-05,0.00027824508
B22-110\00045.png,0.015960991,13.600113,49.0,13.726761,8.84132e-05,0.00023684747
B22-110\00614.png,0.016676366,13.002472,49.0,12.899567,8.0817015e-05,0.00021248857
B22-111\00000.png,0.017122328,14.4717,36.0,15.440552,9.811899e-05,0.00032410832
B22-111\00005.png,0.0175066,13.819697,49.0,14.408096,9.070677e-05,0.00021777843
B22-111\00129.png,0.019586802,14.357158,49.0,14.860611,0.00010192377,0.00026204213
B22-111\00138.png,0.021315753,14.59904,64.0,14.814789,0.00011186022,0.00031379604
B22-111\00207.png,0.0148797035,13.290502,36.0,13.851685,8.1509024e-05,0.00018749153
B22-112\00038.png,0.01765871,13.57196,49.0,13.709778,8.8515044e-05,0.00019846822
B22-112\00050.png,0.016082704,13.759048,36.0,14.427155,8.925516e-05,0.00039675357
B22-112\00061.png,0.016171455,13.555583,36.0,14.138214,8.646482e-05,0.0001988405
B22-112\00109.png,0.014214039,12.59935,36.0,12.795868,7.0776136e-05,0.00016071773
B22-112\00237.png,0.017931044,13.789383,49.0,14.498627,8.7863635e-05,0.00019791373
B22-112\00245.png,0.01707238,13.484975,49.0,13.837418,8.6339045e-05,0.00019164609
B22-112\00279.png,0.015506446,13.923065,36.0,14.669159,9.081964e-05,0.00019911668
B22-112\00341.png,0.018662453,14.428395,49.0,15.033691,9.925545e-05,0.00035581528
B22-114\00012.png,0.016749918,10.483398,36.0,9.207794,5.6111974e-05,0.0674183
B22-114\00054.png,0.036574543,16.439642,121.0,13.402283,0.00015559551,0.019690895
B22-114\00054_Aug1.png,0.037421525,16.756327,121.0,14.107193,0.00016204704,0.018121121
B22-114\00054_Aug2.png,0.035480022,16.1527,121.0,13.318573,0.00015077513,0.021363009
