filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H,Presence
B22-101\00180.png,0.2962014,187.57994,2601.0,258.76572,0.0018814879,0.0005218028,-1
B22-101\00201.png,0.43126506,209.19417,2304.0,305.02136,0.001832997,0.0029893753,1
B22-101\00201_Aug1.png,0.4330036,190.57683,1849.0,268.22455,0.0017976842,0.001838442,1
B22-101\00201_Aug2.png,0.43173766,197.34566,2203.1875,276.01785,0.0017658143,0.0033704161,1
B22-101\00201_Aug3.png,0.43537217,192.89555,2025.0,281.7757,0.0016572999,0.0015412497,1
B22-101\00201_Aug4.png,0.43304992,206.49007,2500.0,294.18024,0.0018294377,0.003427738,1
B22-101\00201_Aug5.png,0.44278497,195.1031,2209.0,290.6911,0.0015895421,0.0017490454,1
B22-101\00201_Aug6.png,0.4330194,203.0229,2304.0,276.01477,0.0019499984,0.0033220302,1
B22-101\00201_Aug7.png,0.44462675,187.73584,2025.0,264.5802,0.0017013086,0.0018154755,1
B22-101\00201_Aug8.png,0.43371135,198.6331,2209.0,264.78882,0.0019239262,0.0034899188,1
B22-101\00280.png,0.58336174,218.12856,2116.0,294.73895,0.002300374,0.0008799501,-1
B22-101\00415.png,0.44864696,145.6776,1521.0,217.1549,0.0012935838,0.00042941293,-1
B22-102\01468.png,0.3625548,146.42583,1681.0,204.38425,0.0013761155,0.0010155486,1
B22-102\01468_Aug1.png,0.35740018,118.18347,1369.0,167.18556,0.0011137656,0.0008427951,1
B22-102\01468_Aug2.png,0.35813934,130.85078,1521.0,187.31958,0.0011984224,0.0008553366,1
B22-102\01468_Aug3.png,0.35723776,127.06891,1444.0,184.15482,0.0011422917,0.00076353055,1
B22-102\01468_Aug4.png,0.35546213,126.6531,1369.0,183.18195,0.001144594,0.0007860556,1
B22-102\01468_Aug5.png,0.35926014,124.59597,1225.0,181.13779,0.001142327,0.00056100986,1
B22-102\01468_Aug6.png,0.3574602,113.8635,1156.0,162.26472,0.001091653,0.00053056213,1
B22-102\01468_Aug7.png,0.3630491,130.39824,1369.0,189.30476,0.0012016399,0.000541019,1
B22-102\01468_Aug8.png,0.36655998,142.91335,1444.0,206.65172,0.0013283449,0.0005412103,1
B22-102\03685.png,0.20306897,274.71677,5329.0,137.8698,0.0050090943,0.011526909,1
B22-102\03685_Aug1.png,0.2286148,286.21194,5329.0,163.05894,0.004970756,0.013266299,1
B22-102\03685_Aug2.png,0.17876142,228.27153,4761.0,135.33783,0.0041747843,0.010112744,1
B22-102\03685_Aug3.png,0.24735886,305.45206,5041.0,148.55316,0.0055992315,0.015797831,1
