fold,best_threshold,best_tpr,best_fpr,youden_J
1,0.0093734180554747,0.9150326797385621,0.21621621621621623,0.6988164635223458
2,0.0057183909229934,0.9513888888888888,0.30434782608695654,0.6470410628019323
3,0.0050895502790808,0.9668874172185431,0.2564102564102564,0.7104771608082867
4,0.0067209531553089,0.965034965034965,0.15217391304347827,0.8128610519914867
5,0.0076488810591399,0.8759124087591241,0.23076923076923078,0.6451431779898933
6,0.0067580263130366,0.9428571428571428,0.20408163265306123,0.7387755102040816
7,0.0076022543944418,0.952054794520548,0.27906976744186046,0.6729850270786875
8,0.0068413438275456,0.9285714285714286,0.30612244897959184,0.6224489795918368
9,0.0057026324793696,0.9594594594594594,0.14634146341463414,0.8131179960448253
10,0.0104870945215225,0.8456375838926175,0.125,0.7206375838926175
