fold,best_threshold,best_tpr,best_fpr,youden_J
1,0.4355108877721943,1.0,0.0,1.0
2,0.3843248347497639,0.8333333333333334,0.1,0.7333333333333334
3,0.2989247311827957,1.0,0.125,0.875
4,0.29205607476635514,1.0,0.2222222222222222,0.7777777777777778
5,0.3298097251585624,0.9090909090909091,0.0,0.9090909090909091
6,0.3904,1.0,0.0,1.0
7,0.48123436196830693,0.6666666666666666,0.0,0.6666666666666666
8,0.3738796414852753,0.875,0.0,0.875
9,0.3364864864864865,1.0,0.125,0.875
10,0.35986159169550175,0.875,0.14285714285714285,0.7321428571428572
